id,titulo,ciclo_proposto,disciplina_proposta,tema_proposto,tipo_schema,tipo_pretendido_original,conceitos_transversais,justificativa,objetivos_preliminares,prioridade,estado,origem,esforco,dependencias,decisao,notas,criado_em,decidido_em
IDEA-3,Asma,Clínico,Pneumologia,Doenças obstrutivas,complete_pack,complete_pack,,,,a_definir,idea,"Diretoria 2026-09-15 (00-INDICE.md L361-364); consolida IDEA-P4-038 (PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md) sem duplicação",a_definir,IDEA-P4-075,,"Cobertura apenas parcial no compêndio de síndromes bronco-pleuro-pulmonares. ""Farmacologia e farmacoterapia da asma.docx"" é entrada legada a auditar, não fonte aprovada.",2026-09-15,
IDEA-4,DPOC,Clínico,Pneumologia,Doenças obstrutivas,complete_pack,complete_pack,,,,a_definir,idea,"Diretoria 2026-09-15 (00-INDICE.md L361-364); consolida IDEA-P4-039 (PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md) sem duplicação",a_definir,IDEA-P4-077,,"A menção atual no compêndio de síndromes respiratórias não substitui material próprio com fisiopatologia, diagnóstico, estratificação, tratamento, exacerbação, prevenção, questões e SRS.",2026-09-15,
IDEA-P4-001,Fundamentos do uso clínico de antimicrobianos e resistência antimicrobiana,Clínico,Agressão e Defesa II,Fundamentos do uso clínico de antimicrobianos e resistência antimicrobiana,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Incluir seleção, espectro, segurança e uso racional.",2026-09-15,
IDEA-P4-002,Betalactâmicos,Clínico,Agressão e Defesa II,Betalactâmicos,a_definir,material/questões/SRS,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,IDEA-P4-001,,"Parte explicitamente nomeada em Antimicrobianos I.",2026-09-15,
IDEA-P4-003,Glicopeptídeos e demais classes de antimicrobianos do cronograma II–III,Clínico,Agressão e Defesa II,Glicopeptídeos e demais classes de antimicrobianos do cronograma II–III,a_definir,conjunto a delimitar,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,IDEA-P4-001,,"O plano não discrimina todas as classes; não inferir conteúdo ausente.",2026-09-15,
IDEA-P4-004,Resposta imune a bactérias,Clínico,Agressão e Defesa II,Resposta imune a bactérias,material,material básico-clínico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Integrar mecanismos e aplicação em infecção.",2026-09-15,
IDEA-P4-005,Infecções osteoarticulares,Clínico,Agressão e Defesa II,Infecções osteoarticulares,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Diagnóstico, tratamento e prevenção.",2026-09-15,
IDEA-P4-006,Meningites infecciosas,Clínico,Agressão e Defesa II,Meningites infecciosas,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Etiologia, reconhecimento, diagnóstico e manejo inicial.",2026-09-15,
IDEA-P4-007,HIV e aids,Clínico,Agressão e Defesa II,HIV e aids,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Fisiopatologia, diagnóstico e seguimento.",2026-09-15,
IDEA-P4-008,Terapia antirretroviral,Clínico,Agressão e Defesa II,Terapia antirretroviral,material,material farmacológico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,IDEA-P4-007,,"Manter ligado ao pack HIV/aids sem fundir os escopos.",2026-09-15,
